CT_titles,ECs,common
"An Open-label, Multicenter Study to Evaluate the Efficacy and Safety of Transitioning to Lemborexant in Japanese Subjects With Insomnia","[inclusion] subjects who are treated with SUV monotherapy or a combination of BZRA and SUV, and have particularly difficulties with sleep onset",
A Phase I/II Study of LEE011 Plus Everolimus in Patients With Metastatic Pancreatic Adenocarcinoma Refractory to Chemotherapy,[inclusion] age ｜ 18 years,1
"A Phase II Study Combining PEGPH20 With Concurrent Gemcitabine and Radiotherapy in Patients With Localized, Unresectable Pancreatic Adenocarcinoma",[exclusion] known allergy to hyaluronidase,1
"A Multicenter, Open-Label, Phase I Dose Escalation Study to Evaluate the Safety, Tolerability and Pharmacokinetics of the Combination of YH003, YH001 and Pembrolizumab in Subjects With Advanced Solid Tumors",[inclusion] subjects must meet the following laboratory values at the screening,1
"the Influence of Remote Ischemic Preconditioning on Inflammation During Human Endotoxemia, a Pilot Proof-of-principle Study",[exclusion] hypotension (RR systolic <100 or RR diastolic <50),
"A Phase I/II Study of Sacituzumab Govitecan Plus Berzosertib in Small Cell Lung Cancer, Extra-Pulmonary Small Cell Neuroendocrine Cancer and Homologous Recombination-Deficient Cancers Resistant to PARP Inhibitors",[inclusion] recurrent histologically or cytologically confirmed SCLC or EP-SCNC after at least one prior platinum-based therapy,
Birinapant and Intensity Modulated Re-Irradiation Therapy (IMRRT) for Locoregionally Recurrent Head and Neck Squamous Cell Carcinoma (HNSCC),"[exclusion] patients requiring the use of anti-tumor necrosis factor (anti TNF) therapies, such as infliximab, or patients who have received treatment with anti-TNF therapies within 5 half-lives of the drug (48 days for infliximab, 55 days for golimumab, 70 days for certolizumab and adalimumab, and 16 days for etanercept)",
"A 2-Part, Open-Label, Single-Dose Study to Investigate the Influence of Hepatic Insufficiency on the Pharmacokinetics of ACP-196","[inclusion] healthy control participants only: Medically healthy with no clinically significant medical history, physical examination, laboratory profiles, vital signs, or ECGs, as deemed by the PI. Liver function tests, and serum bilirubin, must be <= the upper limit of normal at screening",1
"A Phase II Study of CP-751,871 in Patients With Recurrent and/or Metastatic Squamous Head and Neck Carcinoma",[exclusion] prior anti-IGF-1R therapy,
"Comparison of Lidocaine, Dexmedetomidine and Ketamine in Multimodal Analgesia Management Following Sleeve Gastrectomy Surgery: A Randomized Double-Blind Trial","[exclusion] cardiac dysfunction (ejection fraction <40%),",
"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study to Evaluate the Efficacy and Safety of TAK-491 in Korean Subjects With Essential Hypertension",[exclusion] has severe renal dysfunction or disease (confirmed by calculated creatinine clearance <30 mL/min/1.73m^2) at Screening,1
Phase Ib Study of Nivolumab and Dasatinib in Patients With Relapsed/Refractory Philadelphia Chromosome Positive Acute Lymphoblastic Leukemia (Ph+ ALL),[inclusion] detection of one of the following must be present: Breakpoint cluster region (BCR)-Abelson (ABL) positive status by molecular analysis with qualitative polymerase chain reaction (PCR) or fluorescence in situ hybridization (FISH),
Phase I Study to Determine the Optimal Human Challenge Dose for Norovirus GII.4 CIN-3 Batch No.: 01-16C3,[inclusion] demonstrate knowledge and comprehension of the study by scoring > / = 70% on a quiz (test of understanding) of the study protocol and policies,1
"A Multicenter, Open-label, Prospective Study to Evaluate Antiviral Efficacy and Safety of Entecavir Plus Tenofovir Combination in Subjects With Multi-drug Resistant Chronic Hepatitis B Virus Infection","[exclusion] subject who needs long-term administration of drugs including immunosuppressive agents, agents related to high risk in the hepatic/renal toxicity, agents influencing renal excretion",1
"A Prospective, Randomised, Open Label Phase II Study of Active Specific Immunotherapy With Racotumomab Versus Support Treatment in Patients With Advanced Non-small Cell Lung Cancer","[inclusion] the patient (aged over 21 years, either sex) can comply with the protocol and scheduled appointments and sign voluntarily the informed consent form",1
Al18F-NOTA-octreotide PET Imaging of the Somatostatin Receptor in Neuroendocrine Tumors: a First-in-human PET/CT Study,[inclusion] part 2: Neuroendocrine tumor patients: Signed Informed Consent,1
"A Phase I Trial of Volasertib (BI 6727), an Intravenous Polo-Like Kinase Inhibitor, in Combination With ""7+3"" Induction Chemotherapy for Patients With Acute Myeloid Leukemia",[inclusion] participants must have normal organ and marrow function as defined below: creatinine clearance ｜30 mL/min/1.73 m2 for participants with creatinine levels above institutional normal,1
A Randomized Phase II Study of Clofarabine / Intermediate-Dose Cytarabine (CLARA)Versus High-Dose Cytarabine (HDAC) as Consolidation in Younger Patients With Newly-Diagnosed Acute Myeloid Leukemia (AML).,[exclusion] uncontrolled active infection of any kind or bleeding. Patients with infections who are under active treatment with antibiotics and whose infections are controlled may be entered to the study,1
Pharmacokinetic Study of Oral Nalbuphine in Normal Healthy Subjects,"[exclusion] donating greater than 150 ml of blood within two months prior to Period I dosing or donating plasma (e.g., plasmapheresis) within 14 days prior to Period I dosing. All subjects will be advised not to donate blood for four weeks after completing the study",
"A Double Blind, Placebo-Controlled, Single Center, Randomized, Sequential, Ascending 14-Day Multiple Dose Study in Subjects With Acne Vulgaris to Evaluate the Safety, Tolerability and Preliminary Efficacy of B244 Delivered as a Topical Spray","[exclusion] A positive urine drug screen for drugs of abuse, including alcohol or positive urine cotinine (｜300 ng/mL for cotinine) at the screening visit or at entry to the clinic (Note: urine cotinine required at screening visit only)",1
"A Pilot Study of Pembrolizumab and Neoadjuvant Radiation for Large, High-Risk Soft Tissue Sarcomas",[inclusion] serum creatinine =< 1.5 X upper limit of normal (ULN) OR measured or calculated creatinine clearance (glomerular filtration rate [GFR] can also be used in place of creatinine or creatinine clearance [CrCl]) >= 60 mL/min for subject with creatinine levels > 1.5 X institutional ULN (performed within 28 days of enrollment),1
Exploring the Application Value of PET Molecular Imaging Targeting FAP in Oral Squamous Cell Carcinoma,"[inclusion] clinically highly suspected oral cancer and recurrence after treatment, obtaining pathology results and planning surgery",
"A Single-Dose, Replicate, Comparative Bioavailability Study of Two Formulations of Mycophenolate Mofetil 500 mg Tablets Under Fasting Conditions",[exclusion] known history or presence of active tuberculosis (TB),1
Inhaled Nitric Oxide After Out-of-Hospital Cardiac Arrest,[inclusion] full Outline of Unresponsiveness (FOUR) Brainstem score ｜ 2 (i.e. patient must have pupil OR corneal reflex at the time of ED presentation or within 1h if sedation/neuromuscular blockade clouds the picture),
BrUOG-PA-209: Lapatinib and Gemcitabine for Metastatic Pancreaticobiliary Cancer: A Phase I Study #108181,"[exclusion] uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements",1
IGHID 11424 - A Pilot Trial of the Effect of Vorinostat and AGS-004 on Persistent HIV-1 Infection (The VOR VAX Study),[exclusion] participation in another investigational clinical research study (with the exception of an antiretroviral treatment trial that uses FDA approved antiretroviral agents) or use of investigational agents within 30 days prior to Screening (Visit 1),1
"A Phase 2, Randomized, Double Blind, Placebo Controlled Study of the Safety and Efficacy of EN3835 for the Treatment of Adhesive Capsulitis of the Shoulder","[exclusion] has a prosthesis or replacement of right or left shoulder, elbow, wrist, and/or hand",
Cellular Infusions in Patients With Recurrent or Persistent Hematologic Malignancies After Allogeneic Stem Cell Transplant,[inclusion] negative pregnancy test,1
A Phase II/III Study Comparing HX008 (a Humanized Monoclonal Antibody Against PD-1) Plus Chemotherapy With Pembrolizumab Plus Chemotherapy as the First-line Treatment in Participants With Advanced or Metastatic Nonsquamous Non-small Cell Lung Cancer.,[inclusion] understood and signed an informed consent form,1
"A Prospective, Randomized, Controlled, Double-blind, Crossover-Design, Mono-center, Phase IV Study Comparing the Effect of Omegaven in Combination With Clinoleic or Lipoplus or SMOFlipid in Home Parenteral Nutrition Patients",[exclusion] advanced organ dysfunction from chronic disease,1
"A Phase II Study of Nab-paclitaxel and Gemcitabine, in Elderly Patients With Previously Untreated, Metastatic Pancreatic Adenocarcinoma",[inclusion] ALT (SGPT) <= 2.5 X ULN,1
"Placebo-Controlled, Dose-Blinded, Dose Escalation Study to Evaluate Safety, Tolerability, Pharmacokinetics and Antiviral Activity of Polyphenon E (EGCG) as Monotherapy for 14 Days in Antiretroviral Na?ve and Experienced, HIV-1-Infected Subjects",[exclusion] radiation therapy or systemic cytotoxic chemotherapeutic agents within 12 weeks prior to the baseline visit or have not recovered from side effects from such therapy prior to the first dose of study medication,
Clinical Trial of CAR-T in the Treatment of Relapsed and Refractory Hematopoietic and Lymphoid Tissue Tumors in Children,[inclusion] subjects with Lansky score ｜ 50,
Phase II Randomised Trial of 5-azacitidine Versus 5-azacitidine in Combination With Vorinostat in Patients With Acute Myeloid Leukaemia or High Risk Myelodysplastic Syndromes Ineligible for Intensive Chemotherapy,[inclusion] ECOG performance status less than or equal to 2,1
Effect of Pre-operative Adjunctive Anti-VEGF on Growth Factors in Severe Proliferative Diabetic Retinopathy Requiring Surgical Management,[exclusion] dense vitreous hemorrhage,
A Randomized Trial of Low-Dose Bevacizumab Versus Laser for Type 1 Retinopathy of Prematurity,[exclusion] all ROP in zone I in either eye (no retinal vessels or ROP extend into zone II in any quadrant),
"A Phase III, Randomized, Double-blind, Double-dummy, Parallel Group Study to Determine the Safety and Efficacy of Oxy/Nal Prolonged Release Tablets Compared to Oxy PR in Subjects With Moderate to Severe, Chronic Cancer Pain",[inclusion] expected survival time > 3 months,1
"Randomized, Double-Blind, Placebo-Controlled, Fixed-Dose, Parallel-Group Study to Compare the Efficacy, Tolerability, and Safety of 3 Doses of Gabapentin Enacarbil (GSK1838262) With Placebo in Treatment of Moderate-to-Severe Primary RLS",[inclusion] estimated creatinine clearance of ｜60 mL/min,1
"An Open Label, Long Term Trial of Risperidone Long Acting Microspheres in the Treatment of Patients Diagnosed With Schizophrenia","[exclusion] history of neuroleptic malignant syndrome, a rare psychotropic-drug reaction, which may be characterized by confusion, reduced consciousness, high fever or pronounced muscle stiffness",
"Randomized, Controlled, Open-label Trial of Intravenous Intensive Insulin for Severe/Moderate Hypertriglyceridemia Pancreatitis.",[inclusion] moderate severe or severe Acute Pancreatitis according to Atlanta criteria,
A Randomized Phase II Study of Rituximab With ABVD Versus Standard ABVD for Patients With Advanced-Stage Classical Hodgkin Lymphoma With Poor Risk Features (IPS Score &gt; 2),[exclusion] concomitant malignancies or previous malignancies within the last 5 years (exception made for adequately treated basal or squamous cell carcinoma of the skin or carcinoma in situ of cervix),
